,Year,"Hay et al.,  2015 (mm)","Dangendorf et al., 2019 (mm)","Frederikse et al., 2020 (mm)","Wang et al., 2024 (mm)",Altimeter (mm),Historical glacier (mm),Historical ocean (1e22 j),Historical land water (mm),Historical cumilative CO_2 emissions (TtC),Historical non-CO_2 forcing (TtC; CO_2 equiv.),SSP119 cumilative CO_2 emissions (TtC),SSP126 cumilative CO_2 emissions (TtC),SSP245 cumilative CO_2 emissions (TtC),SSP370 cumilative CO_2 emissions (TtC),SSP585 cumilative CO_2 emissions (TtC),SSP119 non-CO_2 forcing (TtC; CO_2 equiv.),SSP126 non-CO_2 forcing (TtC; CO_2 equiv.),SSP245 non-CO_2 forcing (TtC; CO_2 equiv.),SSP370 non-CO_2 forcing (TtC; CO_2 equiv.),SSP585 non-CO_2 forcing (TtC; CO_2 equiv.),Projected GMSL SSP119 (mm),Projected GMSL SSP126 (mm),Projected GMSL SSP245 (mm),Projected GMSL SSP370 (mm),Projected GMSL SSP585 (mm),Projected GMSL SSP119 Median (mm),Projected GMSL SSP126 Median (mm),Projected GMSL SSP245 Median (mm),Projected GMSL SSP370 Median (mm),Projected GMSL SSP585 Median (mm),Projected GMSL SSP119 Upper (mm),Projected GMSL SSP126 Upper (mm),Projected GMSL SSP245 Upper (mm),Projected GMSL SSP370 Upper (mm),Projected GMSL SSP585 Upper (mm),Projected GMSL SSP119 Lower (mm),Projected GMSL SSP126 Lower (mm),Projected GMSL SSP245 Lower (mm),Projected GMSL SSP370 Lower (mm),Projected GMSL SSP585 Lower (mm),Projected glacier SSP119 (mm),Projected glacier SSP126 (mm),Projected glacier SSP245 (mm),Projected glacier SSP370 (mm),Projected glacier SSP585 (mm),Projected ocean heat SSP119 (mm),Projected ocean heat SSP126 (mm),Projected ocean heat SSP245 (mm),Projected ocean heat SSP370 (mm),Projected ocean heat SSP585 (mm)
0,1750,,,,,,,,,2.5395378323108382e-06,0.08146687936563031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1751,,,,,,,,,5.10663780958873e-06,0.09200658232821521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1752,,,,,,,,,7.700481254260397e-06,0.11220528296938242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1753,,,,,,,,,1.032297841399682e-05,0.1238816372462622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1754,,,,,,,,,1.2979314246762102e-05,0.11317904355585612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1755,,,,,,,,,1.5651750738468532e-05,0.11192447727830722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1756,,,,,,,,,1.8356115655532835e-05,0.10176497010452733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1757,,,,,,,,,2.111069279709157e-05,0.08680234673326333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1758,,,,,,,,,2.389856282663031e-05,0.09294519668271795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1759,,,,,,,,,2.671999863667348e-05,0.11635722178104026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1760,,,,,,,,,2.958919063849125e-05,0.12329038688187376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1761,,,,,,,,,3.252223949102476e-05,0.12502030223333963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1762,,,,,,,,,3.551095841854124e-05,0.10332347413118388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1763,,,,,,,,,3.8565171551920016e-05,0.027960635080965517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1764,,,,,,,,,4.1675327652806176e-05,0.030026907012067516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1765,,,,,,,,,4.4852615314701206e-05,0.05121466204613279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1766,,,,,,,,,4.809348693478755e-05,0.053176225564223766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1767,,,,,,,,,5.140994978413997e-05,0.015091634667936728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1768,,,,,,,,,5.4812100886162234e-05,0.032041526271819394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1769,,,,,,,,,5.829966734832993e-05,0.06396729599118758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1770,,,,,,,,,6.187374074074074e-05,0.09166217606421995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1771,,,,,,,,,6.55220408997955e-05,0.09216837160671291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1772,,,,,,,,,6.923992865257897e-05,0.11400908998151171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1773,,,,,,,,,7.300802862985686e-05,0.11185628211912503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1774,,,,,,,,,7.683179868211771e-05,0.12054185028607546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1775,,,,,,,,,8.074480458986594e-05,0.1303222300920789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1776,,,,,,,,,8.474377164280846e-05,0.11709411482165642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1777,,,,,,,,,8.88262438082254e-05,0.1276326248928018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1778,,,,,,,,,9.298594455805499e-05,0.13343339534791637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1779,,,,,,,,,9.722532992501704e-05,0.11517373127738728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1780,,,,,,,,,0.00010155859032038173,0.1168186346570517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1781,,,,,,,,,0.00010598872756191774,0.1380393471434456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1782,,,,,,,,,0.00011051355850942968,0.14314165798565529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1783,,,,,,,,,0.00011516992365371507,0.08210766816190024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1784,,,,,,,,,0.00011993762894796637,-0.10969175548195188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1785,,,,,,,,,0.00012484014314928423,-0.2541510565599776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1786,,,,,,,,,0.0001298741915473756,-0.23517739857773085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1787,,,,,,,,,0.00013502067166553056,-0.14882638621447988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1788,,,,,,,,,0.00014028367689161554,-0.08320154877379012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1789,,,,,,,,,0.00014570414110429448,-0.00928428368835188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1790,,,,,,,,,0.00015127060281754147,0.025826215403596486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1791,,,,,,,,,0.0001569827891388321,0.03843278159918297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1792,,,,,,,,,0.00016296704930697568,0.06137924046559352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1793,,,,,,,,,0.00016905173392410815,0.07995222921376025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1794,,,,,,,,,0.00017519727357418767,0.08604848157607042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1795,,,,,,,,,0.00018128687025675984,0.0925694512528526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1796,,,,,,,,,0.00018732352578959327,0.07878698273890661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1797,,,,,,,,,0.00019335172165416953,0.06886131917893945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1798,,,,,,,,,0.00019965717632356285,0.05987013613778758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1799,,,,,,,,,0.00020715762735741878,0.07111905467440624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1800,,,,,,,,,0.0002161079563735515,0.07368610716940419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
