GSL - prior ML21,,ML21: The main results shown in the paper. Hyperparameters optimized assuming the same timescale characterizes both global and regional variability.
,,"The columns for GSL curves comprise year (Common Era), GSL height (mm), and 1σ errors for GSL height"
Year,mm,1s
-1000,-145.79,54.44
-980,-147.61,55.07
-960,-146.35,55.71
-940,-143.96,55.74
-920,-141.41,54.89
-900,-138.79,53.34
-880,-135.76,51.87
-860,-134.66,51.24
-840,-136.75,51.16
-820,-135.5,51.08
-800,-128.26,51.38
-780,-119.93,52.52
-760,-112.5,53.73
-740,-105.48,54.14
-720,-98.19,53.49
-700,-89.62,52.04
-680,-78.83,50.52
-660,-68.95,49.11
-640,-65.57,48.32
-620,-70.42,48.3
-600,-77.49,47.87
-580,-80.68,47
-560,-78.78,46.33
-540,-75.58,46.67
-520,-73.25,47.55
-500,-72.51,47.95
-480,-73.65,47.78
-460,-77.44,47.38
-440,-84.87,47.2
-420,-93.34,46.85
-400,-98.46,46.41
-380,-98.07,46.16
-360,-94.11,45.69
-340,-87.69,44.99
-320,-79.18,44.64
-300,-72.28,44.4
-280,-72.1,43.95
-260,-77.94,43.1
-240,-89.81,42.42
-220,-105.93,42.15
-200,-120.53,41.98
-180,-127.63,41.53
-160,-127.15,40.23
-140,-122.24,38.28
-120,-116.98,35.57
-100,-113.91,32.74
-80,-112.6,30.52
-60,-113.42,28.77
-40,-113.78,27.54
-20,-110.91,26.55
0,-104.54,26.38
20,-98.51,26.87
40,-95.51,27.04
60,-93.91,27.57
80,-92.04,28.7
100,-88.99,29.69
120,-80.91,31.07
140,-73.65,32.88
160,-72.04,34.66
180,-69.41,36.13
200,-62.22,36.93
220,-54.67,36.7
240,-52.19,36.6
260,-56.61,36.74
280,-63.06,36.33
300,-64.61,35.67
320,-54.88,35.68
340,-38.38,35.56
360,-28.07,35.22
380,-29.7,34.97
400,-37.79,34.62
420,-46.31,34.41
440,-53.95,33.85
460,-63.29,33.39
480,-71.43,33.68
500,-73.56,33.66
520,-65.98,33.38
540,-53.48,33.09
560,-47.32,33.42
580,-51.49,34.14
600,-61.57,34.54
620,-69.25,34.99
640,-68.03,35.56
660,-58.06,35.43
680,-43.1,34.68
700,-33.42,33.94
720,-36.64,34.36
740,-46.42,35.34
760,-56.26,35.74
780,-65.1,35.24
800,-72.19,34.01
820,-78.87,32.54
840,-85.68,31.13
860,-87.48,30.3
880,-80.69,30.94
900,-71.83,31.5
920,-64,31.55
940,-55.24,31.45
960,-46.69,31.28
980,-40.51,31.16
1000,-43.91,31.66
1020,-52.83,32.34
1040,-61.88,32.59
1060,-71.86,32.24
1080,-85.26,31.58
1100,-103.84,30.86
1120,-121.49,30.28
1140,-127.36,29.83
1160,-126.47,29.73
1180,-126.5,29.67
1200,-120.46,29.98
1220,-110.04,30.11
1240,-105.43,30.07
1260,-109.86,30.15
1280,-118.43,30.52
1300,-124.2,30.76
1320,-127.46,30.43
1340,-129.72,29.73
1360,-129.88,29.82
1380,-131.08,30.02
1400,-134.66,29.84
1420,-137.93,29.92
1440,-136.1,30.03
1460,-128.07,29.36
1480,-113.61,28.17
1500,-99.28,27.11
1520,-90.11,26.62
1540,-82.53,27.09
1560,-75.28,27.76
1580,-72.97,28.19
1600,-76.49,28.74
1620,-84.3,29.4
1640,-89.96,29.02
1660,-93.74,27.86
1680,-100.31,26.52
1700,-109.92,25.17
1720,-114.99,23.91
1740,-111.62,22.93
1760,-110.67,21.95
1780,-119.61,20.91
1800,-131.55,19.36
1810,-136.41,18.42
1820,-139.57,17.43
1830,-141.98,16.35
1840,-144.58,15.19
1850,-148.49,13.89
1860,-150.71,12.49
1870,-146.99,10.94
1880,-144.16,9.25
1890,-143.25,7.79
1900,-134.33,6.82
1910,-123.06,6.2
1920,-114.34,5.73
1930,-102.8,5.35
1940,-84.86,5
1950,-65.9,4.67
1960,-55.58,4.33
1970,-41.27,4
1980,-28.52,3.64
1990,-14.72,3.26
2000,3.21,2.86
2010,21.87,3.85
